,Palabra,Categoría Gramatical,Oxford3000,Oxford5000,A clash of kings,A game of thrones,Name of the wind,A storm of Swords
3674,other,pronoun,a1,a1,0,0,0,0
3675,otherwise,adverb,b2,b2,23,13,16,22
3676,ought,modal verb,b1,b1,71,56,2,61
3677,our,determiner,a1,a1,240,203,216,307
3678,ours,pronoun,b1,b1,10,15,1,19
3679,ourselves,pronoun,a2,a2,2,6,6,9
3680,out,adverb,a1,a1,794,728,916,857
3681,out,preposition,a1,a1,0,0,0,0
3682,outbreak,noun,-1,c1,1,0,0,2
3683,outcome,noun,b2,b2,1,0,1,1
3684,outdoor,adjective,b1,b1,0,0,0,0
3685,outdoors,adverb,b1,b1,0,0,1,0
3686,outer,adjective,b2,b2,12,6,10,21
3687,outfit,noun,-1,b2,0,0,0,0
3688,outing,noun,-1,c1,0,0,0,0
3689,outlet,noun,-1,c1,0,0,0,0
3690,outline,noun,b2,b2,2,3,0,5
3691,outline,verb,b2,b2,0,0,0,0
3692,outlook,noun,-1,c1,0,0,0,0
3693,output,noun,-1,b2,0,0,0,0
3694,outrage,noun,-1,c1,3,3,2,3
3695,outrage,verb,-1,c1,0,0,0,0
3696,outside,adjective,a2,a2,85,75,59,96
3697,outside,adverb,a1,a1,0,0,0,0
3698,outside,noun,a2,a2,0,0,0,0
3699,outside,preposition,a2,a2,0,0,0,0
3700,outsider,noun,-1,c1,0,1,0,1
3701,outstanding,adjective,-1,b2,0,0,0,0
3702,oven,noun,a2,a2,3,1,1,2
3703,over,adverb,a1,a1,411,439,498,469
3704,over,preposition,a1,a1,0,0,0,0
3705,overall,adjective,b2,b2,0,0,0,0
3706,overall,adverb,b2,b2,0,0,0,0
3707,overcome,verb,-1,b2,0,0,1,1
3708,overlook,verb,-1,c1,2,0,0,1
3709,overly,adverb,-1,c1,1,1,1,0
3710,overnight,adverb,-1,b2,1,0,0,1
3711,overseas,adjective,-1,b2,0,0,0,0
3712,overseas,adverb,-1,b2,0,0,0,0
3713,oversee,verb,-1,c1,0,0,0,0
3714,overturn,verb,-1,c1,0,0,0,0
3715,overwhelm,verb,-1,c1,0,1,0,2
3716,overwhelming,adjective,-1,c1,0,2,3,2
3717,owe,verb,b2,b2,14,7,11,12
3718,own,adjective,a1,a1,314,235,176,393
