"넷플릭스 오리지널 시리즈"	‎"넷플릭스 오리지널 시리즈"
‎(학주) ‎왜요, 아바마마의 안위가 ‎걱정되시는 겁니까?	‎(학주) ‎왜요, 아바마마의 안위가 ‎걱정되시는 겁니까?
‎강녕전에서	‎강녕전에서
‎몰골이 끔찍한 괴물을 보았소	‎몰골이 끔찍한 괴물을 보았소
‎(학주) ‎나도 보았습니다	‎(학주) ‎나도 보았습니다
‎겉으로는 아비에 대한 걱정으로 ‎가득한 척하면서	‎겉으로는 아비에 대한 걱정으로 ‎가득한 척하면서
‎속으로는 자신의 안위와 권세를 위해	‎속으로는 자신의 안위와 권세를 위해
‎그 아비가 죽기를 간절히 바라는	‎그 아비가 죽기를 간절히 바라는
‎괴물 같은 아들을 보았습니다	‎괴물 같은 아들을 보았습니다
‎그뿐입니까	‎그뿐입니까
‎그 아들을 앞세워	‎그 아들을 앞세워
‎전하를 시해하고	‎전하를 시해하고
‎이 나라를 손아귀에 넣으려는 ‎사악한 생각만 가득한	‎이 나라를 손아귀에 넣으려는 ‎사악한 생각만 가득한
‎괴물들을 보았습니다	‎괴물들을 보았습니다
‎의금부 정청 뜰 앞에 ‎그 괴물들이 흘린 피로 가득하지요	‎의금부 정청 뜰 앞에 ‎그 괴물들이 흘린 피로 가득하지요
‎그 피가 봇물이 되면 ‎아마도 역모의 정범이	‎그 피가 봇물이 되면 ‎아마도 역모의 정범이
‎그들이 세우려 했던 ‎새로운 왕의 정체가 드러날 것입니다	‎그들이 세우려 했던 ‎새로운 왕의 정체가 드러날 것입니다
‎그때가 되면	‎그때가 되면
‎일개 금군별장이라도	‎일개 금군별장이라도
‎왕족의 피를 감당할 수 있겠지요	‎왕족의 피를 감당할 수 있겠지요
‎아무리 기다리셔도 ‎전하께선 오지 않으실 겁니다	‎아무리 기다리셔도 ‎전하께선 오지 않으실 겁니다
‎병세가 가라앉아 ‎중궁전으로 드셨거든요	‎병세가 가라앉아 ‎중궁전으로 드셨거든요
‎범일아	‎범일아
‎저하 모셔다드려라	‎저하 모셔다드려라
‎예, 아버님	‎예, 아버님
‎(범일) ‎저하가 오늘 많이 놀라신 듯하니	‎(범일) ‎저하가 오늘 많이 놀라신 듯하니
‎기응환이라도 올려 드려라	‎기응환이라도 올려 드려라
‎[문이 달칵 여닫힌다]	‎[문이 달칵 여닫힌다]
‎[창의 깊은 한숨]	‎[창의 깊은 한숨]
‎(무영) ‎저하	‎(무영) ‎저하
‎(창) ‎구하였느냐	‎(창) ‎구하였느냐
‎(무영) ‎예, 하마터면 걸릴 뻔했지만 ‎가져왔사옵니다	‎(무영) ‎예, 하마터면 걸릴 뻔했지만 ‎가져왔사옵니다
‎[무영의 거친 숨소리]	‎[무영의 거친 숨소리]
‎(창) ‎아바마마께서 쓰러지신 건 열흘 전	‎(창) ‎아바마마께서 쓰러지신 건 열흘 전
‎지난 그믐이다	‎지난 그믐이다
‎'오한, 발열, 두통'	‎'오한, 발열, 두통'
‎[어두운 음악]	‎[어두운 음악]
‎'과립 화독탕을 여러 번 올렸으나 ‎소용이 없다'	‎'과립 화독탕을 여러 번 올렸으나 ‎소용이 없다'
‎'열이 많이 나는 건 ‎소두와는 차이가 있으니'	‎'열이 많이 나는 건 ‎소두와는 차이가 있으니'
‎'증상이 심상치 않다'	‎'증상이 심상치 않다'
‎'백약이 무효하다'?	‎'백약이 무효하다'?
‎(무영) ‎아니, 저하	‎(무영) ‎아니, 저하
‎왜 아무것도 ‎적혀 있지 않은 것이옵니까?	‎왜 아무것도 ‎적혀 있지 않은 것이옵니까?
‎이럴 리가 없다	‎이럴 리가 없다
‎약방 일기라는 것은 ‎하루도 빠지지 않고 적어야 하거늘	‎약방 일기라는 것은 ‎하루도 빠지지 않고 적어야 하거늘
‎게다가 아바마마께선 위독한 상태셨다	‎게다가 아바마마께선 위독한 상태셨다
‎뭔가 숨길 것이 있어	‎뭔가 숨길 것이 있어
‎일부러 적지 않은 것이면 몰라도	‎일부러 적지 않은 것이면 몰라도
‎(창) ‎도대체 아바마마께, 강녕전에	‎(창) ‎도대체 아바마마께, 강녕전에
‎무슨 일이 벌어지고 있는 것이냐	‎무슨 일이 벌어지고 있는 것이냐
‎(무영) ‎저하	‎(무영) ‎저하
‎이승희 의원이 누굽니까?	‎이승희 의원이 누굽니까?
‎(창) ‎이승희 의원이라면 3년 전에 사임한 ‎전임 어의다	‎(창) ‎이승희 의원이라면 3년 전에 사임한 ‎전임 어의다
‎그자를 어찌 아느냐?	‎그자를 어찌 아느냐?
‎(무영) ‎여기 전하에 대해 적어 놓은 기록 중에 ‎맨 마지막에...	‎(무영) ‎여기 전하에 대해 적어 놓은 기록 중에 ‎맨 마지막에...
‎(창) ‎잠행을 나가야겠다	‎(창) ‎잠행을 나가야겠다
‎(무영) ‎예? 잠행을요?	‎(무영) ‎예? 잠행을요?
